Source,Target
413362,281
68724,2048
385332,101
8982,8810
787,1620
575185,414181
451925,376660
432301,2604
500919,15069
334543,424
443009,363676
400579,10054
205587,396371
20533,155
429417,566512
490132,511785
216015,43923
454652,10161
466411,13416
385332,11423
468362,947
381284,5915
109424,156022
61791,49049
283366,9531
381289,281957
504172,13815
316029,5915
448776,10734
157336,75612
24021,50619
510284,14001
112160,17130
324786,616
483906,1927
391713,398818
489931,75656
286565,308369
274857,762
470044,671
445954,345887
462919,621
11322,245891
433498,424
400617,399057
41233,224141
15472,101299
433498,487558
363676,2567
75174,281957
227156,317091
75174,244316
49017,400155
303858,9813
483906,272
454227,396371
2253,16869
399404,637
307081,70
1949,10651
7350,400579
58595,290595
315635,9531
414191,15206
350,581
244786,769
440298,24420
321741,340027
242582,396371
205596,184352
510284,321258
5915,640
467952,424
168259,345887
12162,238636
406990,782
335797,9836
68722,460885
58595,197796
419831,1927
400535,1701
379149,49021
301337,604
421792,302625
453201,424
244761,562
569547,157353
505954,1771
384680,396373
400617,3933
517331,38050
401469,9679
448776,5925
207932,562
425972,9813
194662,155
438145,345887
324786,227306
465136,336843
109424,2320
58595,62764
296098,691
324786,9509
464502,281957
449176,26371
41233,11224
315837,12162
432301,2142
489929,270946
476292,378064
491418,331588
470044,133805
319888,396371
465914,396371
222935,449176
454227,5915
17979,8871
157336,568
329865,49849
464502,74997
398181,8012
274857,616
339988,157353
537996,872
11036,1246
359940,398181
210577,346685
429197,5915
253412,290512
399360,44363
339692,868
376867,258480
353070,500919
68734,425336
119450,157336
254,58
68722,414425
455207,392044
264660,62
11324,181283
489999,300668
146233,37645
23168,489
147441,9837
446354,769
340666,562
6977,949
281338,2048
82695,3131
84892,376867
475132,317557
207932,769
381289,101299
445954,10651
332562,525
652,18823
265208,309242
449459,197
45269,18320
286217,667
425972,76341
468362,205584
27022,11527
458594,45569
520360,500
6479,604
455207,340613
500475,398181
483906,155
1124,13374
1124,291805
460071,640
489931,37797
500475,8012
470894,474395
169917,769
460071,396371
77338,862
396371,10220
433498,451915
396461,627
339103,769
6977,4836
1422,8012
150689,808
290595,767
392044,4176
369885,676
337167,281957
470044,392044
472734,9880
313369,10545
450465,272
8966,466282
10947,89185
68734,266856
7485,261023
296096,12689
417261,307081
210577,75780
465136,70160
339988,13027
489999,2275
468362,691
242582,9654
492258,324786
489929,50620
470894,155
341174,101299
169917,8012
569547,78
9509,9335
112160,14
399055,150689
446021,1369
487670,1924
418827,74997
68718,2320
8966,24021
50620,24021
272,297762
44214,566512
375262,424694
446101,336804
64682,4148
388,1771
286565,197033
109424,298250
201088,27576
446021,77
